KO_ID,NAZIV
748,SPODNJA POLSKAVA
749,STRAŽGONJCA
750,VRHLOGA
751,ČREŠNJEVEC
752,SPODNJA NOVA VAS
753,SLOVENSKA BISTRICA
133,LIPOVCI
36,VEČESLAVCI
37,DOLNJI SLAVEČI
38,GRAD
39,VIDONCI
40,OTOVCI
41,MAČKOVCI
42,PROSEČKA VAS
43,KOVAČEVCI
44,POZNANOVCI
45,RADOVCI
46,KRUPLIVNIK
47,MOTOVILCI
48,PERTOČA
49,ROPOČA
50,GERLINCI
51,KRAŠČI
52,VADARCI
53,BODONCI
54,PEČAROVCI
55,DANKOVCI
1099,GORENJE PRI ZREČAH
1100,ZREČE
1101,RADANA VAS
1102,KRIŽEVEC
1103,STRANICE
1104,PRELOGE
1105,ŠKALCE
1106,BEZINA
1107,TEPANJE
1108,PEROVEC
1109,SPODNJE GRUŠOVJE
1110,LIČENCA
1111,JERNEJ PRI LOČAH
1112,KOBLE
1113,ŽIČE
1114,KONJIŠKA VAS
1115,SLOVENSKE KONJICE
1116,SLEMENE
1117,TOLSTI VRH
1118,LIPOGLAV
1119,LOČE
155,GENTEROVCI
156,MOSTJE PRI LENDAVI
157,DOLGA VAS PRI LENDAVI
158,BANUTA
159,MALA POLANA
160,VELIKA POLANA
161,HOTIZA
162,KAPCA
163,KOT PRI MURI
164,GABERJE
165,LAKOŠ
166,LENDAVA
167,ČENTIBA
168,DOLINA PRI LENDAVI
169,PETIŠOVCI
170,PINCE
171,VRATJI VRH
172,VRATJA VAS
173,PODGORJE
174,KONJIŠČE
3,DOLENCI
4,BUDINCI
5,MARKOVCI
6,ČEPINCI
7,LUCOVA
8,NERADNOVCI
9,MARTINJE
10,BOREČA
11,ŽENAVLJE
12,ŠULINCI
13,STANJEVCI
14,GORNJI PETROVCI
15,ADRIJANCI
16,PESKOVCI
131,BELTINCI
132,BRATONCI
1096,STENICA
1097,LJUBNICA
1098,LOŠKA GORA
175,DROBTINCI
176,GRABE
177,NASOVA
178,ŽIBERCI
179,ŽEPOVCI
180,ČRNCI
181,APAČE
182,SEGOVCI
183,LUTVERCI
184,GORNJA RADGONA
186,MELE
187,ČREŠNJEVCI
188,POLICE
189,HERCEGOVŠČAK
190,LOMANOŠE
191,PLITVICA
109,MARKIŠAVCI
110,POLANA
111,ČERNELAVCI
112,VEŠČICA
113,KUPŠINCI
114,VANČA VAS
115,RANKOVCI
116,BOREJCI
117,KRAJNA
118,GEDEROVCI
119,SODIŠINCI
120,MURSKI PETROVCI
121,PETANJCI
122,TIŠINA
123,TROPOVCI
124,GRADIŠČE
125,MURSKI ČRNCI
126,SATAHOVCI
127,KROG
128,BAKOVCI
129,GANČANI
130,LIPA
1,HODOŠ
2,SUHI VRH
1120,ZGORNJE LAŽE
1121,ZBELOVSKA GORA
1122,DRAMLJE
1123,PLETOVARJE
1124,SLATINA
1125,OSTROŽNO
1126,DOLGA GORA
1127,PONKVICA
1128,PONIKVA
1129,ZAGAJ
1130,VODULE
1131,MARIJA DOBJE
1132,PRIMOŽ
1133,GORIČICA
1134,ZLATEČE
1135,LOKARJE
1136,KAMENO
1137,GROBELNO
1138,ŠENTJUR PRI CELJU
134,DOKLEŽOVJE
135,IŽAKOVCI
136,MELINCI
137,ODRANCI
138,TRNJE V PREKMURJU
139,ŽIŽKI
140,ČRENŠOVCI
141,GORNJA BISTRICA
142,SREDNJA BISTRICA
143,DOLNJA BISTRICA
144,KOBILJE
145,ŽITKOVCI
146,DOBROVNIK
147,STREHOVCI
148,RENKOVCI
149,TURNIŠČE
150,GOMILICA
151,BREZOVICA V PREKMURJU
152,NEDELICA
153,RADMOŽANCI
154,KAMOVCI
1139,PODGRAD
1140,KRAJNČICA
1141,RIFNIK
1142,TRATNA
1143,GORICA PRI SLIVNICI
1144,VODRUŽ
1145,PLANINCA
1146,VEZOVJE
1147,SLIVNICA PRI CELJU
1148,JAVORJE
1149,VODUCE
1150,KALOBJE
1151,BREZJE
1152,SUHO
1153,PARIDOL
1154,DOBRINA
1155,LOKA PRI ŽUSMU
1156,LOPACA
1157,STRAŠKA GORCA
1158,PRESEČNO
1159,PLANINSKA VAS
1160,LOKE PRI PLANINI
1161,PLANINA
1162,GOLOBINJEK
1163,ŠENTVID PRI PLANINI
1164,ZGORNJI GABRNIK
1165,DREVENIK
1166,ČAČA VAS
1167,NEGONJE
1168,RATANSKA VAS
1169,CEROVEC
1170,SPODNJE SEČOVO
1171,SV. FLORIJAN
1172,STRMEC
1173,TLAKE
1174,TRŠKA GORCA
1175,DONAČKA GORA
1176,TRLIČNO
1177,DOBOVEC
1178,ROGATEC
1179,TRŽIŠČE
1180,TOPOLE
1181,TEKAČEVO
1182,SPODNJA KOSTRIVNICA
1183,LEMBERG OKOLICA
1184,LEMBERG TRG
1185,PIJOVCI
1186,SLADKA GORA
1187,VRH
1188,DVOR
1189,BOBOVO
1190,PRELOGE
1191,GRLIČE
1192,KAČJI DOL
1193,MALE RODNE
1194,VELIKE RODNE
1195,RJAVICA
1196,BRESTOVEC
1197,CESTE
1198,PLAT
1199,KRISTAN VRH
1200,ŠMARJE PRI JELŠAH
1201,ZADRŽE
1202,SENOVICA
1203,BODREŽ
1204,ZGORNJE SELCE
1205,PLATINOVEC
1206,JEŠOVEC
1207,BRECLJEVO
1208,DOL
1209,KORETNO
1210,PRISTAVA
1211,HAJNSKO
1212,NEZBIŠE
1213,KAMENCE
1214,RAJNKOVEC
1215,NIMNO
1216,VIDOVICA
1217,VONARJE
1218,EMA
1219,SODNA VAS
1220,ROGINSKA GORCA
1221,ZIBIKA
1222,VRŠNA VAS
1223,OREHOVEC
923,LJUBNO
924,SAVINA
925,KRNICA
926,LUČE
927,PODVEŽA
928,PODVOLOVLJEK
929,LENART PRI GORNJEM GRADU
930,FLORJAN PRI GORNJEM GRADU
931,RADMIRJE
932,ŠENTJANŽ
933,HOMEC
629,JANŽEVA GORA
630,GEREČJA VAS
631,SPODNJA SELNICA
632,SPODNJI SLEMEN
633,SREDNJE
654,OREŠJE
543,ŽUPETINCI
655,MELJE
656,BREZJE
657,MARIBOR GRAD
658,KOROŠKA VRATA
659,TABOR
660,STUDENCI
661,LIMBUŠ
662,LAZNICA
663,BISTRICA PRI LIMBUŠU
664,BISTRICA PRI RUŠAH
665,RUŠE
666,ČINŽAT
667,RUTA
668,RDEČI BREG
669,LOVRENC NA POHORJU
670,RECENJAK
671,KUMEN
672,SMOLNIK
673,LOBNICA
674,ZGORNJI VRHOV DOL
675,HRASTJE
676,PEKRE
677,ZGORNJE RADVANJE
678,SPODNJE RADVANJE
679,RAZVANJE
680,TEZNO
681,POBREŽJE
682,ZRKOVCI
683,DOGOŠE
684,ZGORNJI DUPLEK
685,ZAVRŠKA VAS
686,ZIMICA
687,JABLANCE
688,ZGORNJA KORENA
689,SPODNJA KORENA
690,ŽIKARCE
691,CIGLENCE
692,SPODNJI DUPLEK
634,JELOVEC
635,BRESTRNICA
636,KAMNICA
637,ROŠPOH
638,KRČEVINA
639,POČEHOVA
640,PEKEL
641,DRAGUČOVA
642,PERNICA
643,LOŽANE
644,RUPERČE
645,GRUŠOVA
646,METAVA
647,TRČOVA
648,NEBOVA
649,CELESTRINA
650,MALEČNIK
651,HRENCA
652,VODOLE
653,KOŠAKI
1349,DOVŠKO
1350,SENOVO
1351,ARMEŠKO
1352,LOKVE
1353,RAZTEZ
1354,GORICA
1355,ANŽE
1356,STOLOVNIK
1357,BRESTANICA
1358,DOLENJI LESKOVEC
1359,PRESLADOL
1360,ROŽNO
1361,PODGORJE
1362,OKROGLICE
1363,RADEŽ
1364,LOKA PRI ZIDANEM MOSTU
1365,BREG
1366,LEDINA
1367,ZABUKOVJE
1368,POKLEK
1369,TRNOVEC
714,PREPOLJE
715,MARJETA NA DRAVSKEM POLJU
716,RAČE
717,FRAM
718,KOPIVNIK
719,PLANICA
720,LOKA PRI FRAMU
721,MORJE
237,GRLAVA
238,KRIŠTANCI
239,KRAPJE
240,MOTA
241,CVEN
242,BABINCI
243,NORŠINCI
244,LUKAVCI
245,KLJUČAROVCI PRI LJUTOMERU
246,BORECI
247,LOGAROVCI
248,PRECETINCI
1330,VELIKO MRAŠEVO
1331,KOSTANJEVICA
1332,PODBOČJE
1333,PLANINA
1334,ČRNEČA VAS
1335,OŠTRC
1336,OREHOVEC
1337,STRANJE
1338,DOBROVA
1339,REŠTANJ
1340,MRČNA SELA
1341,KOPRIVNICA
1342,VELIKI DOL
1343,VELIKI KAMEN
1344,MALI KAMEN
1345,ŠEDEM
1346,GORENJI LESKOVEC
1347,KALIŠOVEC
1348,BREZJE
249,KURŠINCI
250,BERKOVCI
251,BOLEHNEČICI
252,BUČKOVCI
253,DRAKOVCI
254,MORAVCI
255,GODEMARCI
256,RADOSLAVCI
257,BRANOSLAVCI
1299,ZAKOT
1300,BREŽICE
1301,KRŠKA VAS
1302,CERKLJE
1303,BUŠEČA VAS
1304,STOJANSKI VRH
1305,GLOBOČICE
1306,ČATEŽ
1307,CERINA
1308,VELIKA DOLINA
1309,KORITNO
1310,NOVA VAS
1311,KOSTANJEK
1312,PLETERJE
1313,ANOVEC
1314,SREMIČ
1315,VIDEM
1316,STARA VAS
1317,STARI GRAD
1318,DOLENJA VAS
1319,PESJE
1320,DRNOVO
1321,LESKOVEC
1322,KRŠKO
1323,VELIKI TRN
1324,RAVNO
1325,SENUŠE
1326,RAKA
1327,POVRŠJE
1328,SMEDNIK
1329,VELIKI PODLOG
1370,PODVRH
1371,METNI VRH
1372,ŽURKOV DOL
1373,ŽIGRSKI VRH
1374,KRAJNA BRDA
1375,SELCE
1376,KLADJE
1377,BLANCA
1378,BREZOVO
1379,SEVNICA
1380,ŠMARJE
1381,BOŠTANJ
1382,KOMPOLJE
1383,CEROVEC
1384,ŠENTJANŽ
1385,PODBORŠT
1386,KAL
1387,CIRNIK
1388,PIJAVICE
693,MIKLAVŽ NA DRAVSKEM POLJU
694,ROGOZA
695,BOHOVA
696,SPODNJE HOČE
697,ZGORNJE HOČE
698,PIVOLA
699,HOČKO POHORJE
700,SLIVNIŠKO POHORJE
701,POLANA
702,RANČE
703,RADIZEL
704,ČRETA
705,SLIVNICA
706,OREHOVA VAS
707,HOTINJA VAS
708,SKOKE
709,LOKA PRI ROŠNJI
710,DVORJANE
711,VURBERK
712,STARŠE
713,ZLATOLIČJE
1389,GOVEJI DOL
1390,VRH
1391,LOG
1392,HUBAJNICA
1393,STUDENEC
1394,BUČKA
1395,TELČE
1396,KRSINJI VRH
1397,TRŽIŠČE
1398,BISTRICA
1399,ŠENTRUPERT
1400,STRAŽA
1401,NOVO ZABUKOVJE
1402,SELO - MIRNA
1403,ČATEŽ
1404,DOLGA NJIVA
1405,MALI VIDEM
1406,ŠKOVEC
1407,ROJE
1408,ŠEVNICA
1409,BREZOVICA
1410,MIRNA
1411,OSTROŽNIK
1412,MOKRONOG
1413,LAKNICE
1414,JELŠEVEC
1415,TREBELNO
1416,STARO ZABUKOVJE
1417,ORNUŠKA VAS
1418,LUKOVEK
1419,PONIKVE
1420,ČEŠNJEVEK
1421,MEDVEDJE SELO
1422,TREBNJE
1423,VRHTREBNJE
1424,ŠTEFAN
1425,VELIKA LOKA
1426,PRAPREČE
1427,VELIKI GABER
1428,ZAGORICA
1429,STEHANJA VAS
1430,KNEŽJA VAS
1431,DOBRNIČ
1432,KORITA
1433,SELA PRI ŠUMBERKU
1434,GORNJI KRIŽ
1435,REBER
1436,ŽUŽEMBERK
1437,ŠMIHEL PRI ŽUŽEMBERKU
1438,ŽVIRČE
1439,HINJE
1440,SELA PRI HINJAH
1441,VELIKO LIPJE
279,TRNOVCI
1442,STAVČA VAS
1443,DVOR
1444,AJDOVEC
1445,BREZOVA REBER
1446,GORENJE POLJE
1447,GORENJA STRAŽA
1448,PREČNA
1449,GLOBODOL
1450,GOLOBINJEK
1451,MIRNA PEČ
1452,HMELJČIČ
1453,ZAGORICA
1454,DALJNI VRH
1455,BRŠLJIN
1456,NOVO MESTO
1457,ŽDINJA VAS
1458,ČREŠNJICE
1459,HERINJA VAS
1460,ŠENTPETER
1461,ŽALOVIČE
1462,ZBURE
1463,ZAGRAD
1464,DOLE
1465,STARA VAS
1466,GORENJA VAS
1467,DRUŽINSKA VAS
1468,BELA CERKEV
1469,TOMAŽJA VAS
1470,DOBRAVA
1471,MRŠEČA VAS
1472,OSTROG
1473,GRADIŠČE
1474,POLHOVICA
1475,GORENJA OREHOVICA
1476,ŠENTJERNEJ
1477,VRHPOLJE
1478,GABRJE
1479,BRUSNICE
1480,POTOV VRH
1481,SMOLENJA VAS
1482,RAGOVO
1483,KANDIJA
1484,ŠMIHEL PRI NOVEM MESTU
1485,GOTNA VAS
1486,STOPIČE
1487,ZAJČJI VRH
1488,HRUŠICA
1509,RADOVICA
1510,SLAMNA VAS
1511,DRAŠIČI
1512,BOŽAKOVO
1513,RADOVIČI
1514,ROSALNICE
1515,METLIKA
1516,PRIMOSTEK
1517,DOBRAVICE
1518,GRADAC
1519,PODZEMELJ
1520,ŠTALE
1521,ČRMOŠNJICE
1522,PRIBIŠJE
1523,ŠTREKLJEVEC
1524,SODJI VRH
1525,ČREŠNJEVEC
1526,VINJI VRH
1527,SEMIČ
1528,BREZJE PRI VINJEM VRHU
1529,KOT
1530,BLATNIK
1531,GOLOBINJEK
1532,PLANINA
1533,KLEČ
1534,PETROVA VAS
1535,ČRNOMELJ
1536,TALČJI VRH
1537,BUKOVA GORA
1538,DOLENJA PODGORA
1539,MAVRLEN
1540,DOBLIČE
1541,LOKA
1542,ZASTAVA
1543,KRASINEC
1544,GRIBLJE
1545,BEDENJ
1546,TRIBUČE
1547,BUTORAJ
1489,CEROVEC
1490,TEŽKA VODA
1491,LAKOVNICE
1492,STRANSKA VAS
1493,VELIKI PODLJUBEN
1494,JURKA VAS
1495,TOPLICE
1496,PODTURN
1497,PODSTENICE
1498,POLJANE
1499,STARE ŽAGE
1500,DOBINDOL
1501,VINJA VAS
1502,DOLE
1503,SEKULIČI
1504,HRAST PRI JUGORJU
1505,BUŠINJA VAS
1506,LOKVICA
1507,GRABROVEC
1508,BOJANJA VAS
1603,DOL
1604,SPODNJI LOG
1605,RAJNDOL
1606,ŠKRILJ
1607,SUHOR
1608,BRIGA
1609,BANJA LOKA
1610,VRH
1611,FARA
1612,PIRČE
1613,KUŽELJ
1614,SLEMENA
1615,PODPOLJANE
1616,VELIKE POLJANE
1617,SUŠJE
1618,VINICE
1619,SODRAŽICA
1620,ŽIMARICE
1621,GORA
1622,ZAMOSTEC
1623,JURJEVICA
210,GORNJI IVANJCI
211,SPODNJI IVANJCI
212,OKOSLAVCI
213,DRAGOTINCI
214,ROŽIČKI VRH
215,STANETINCI
216,HRAŠENSKI - RAČKI VRH
217,MURŠČAK
218,HRASTJE - MOTA
219,MURSKI VRH
220,SELIŠČI
221,SLAPTINCI
222,JAMNA
223,BLAGUŠ
224,GRABONOŠ
225,KRALJEVCI
226,SOVJAK
227,TERBEGOVCI
228,GALUŠAK
229,KOKOLAJNŠČAK
1584,DRAGA
1585,TRAVA
1586,ŽURGE
1587,OSILNICA
1588,BOSLJIVA LOKA
1589,BOROVEC
1590,KOČEVSKA REKA
1591,NOVI LAZI
1592,ŠTALCERJI
1593,ČRNI POTOK
1594,MOZELJ
1595,KUMROVA VAS
1596,BREZJE
1597,KOPRIVNIK
1598,HRIB
1599,NEMŠKA LOKA
1600,KNEŽJA LIPA
1601,ČEPLJE
1602,PREDGRAD
230,VUČJA VAS
231,BUČEČOVCI
232,STARA NOVA VAS
233,BUNČANI
234,VERŽEJ
235,ILJAŠEVCI
236,KRIŽEVCI
1551,BELČJI VRH
1552,ADLEŠIČI
1553,BOJANCI
1554,HRAST PRI VINICI
1555,NOVA LIPA
1556,STARA LIPA
1557,STARI TRG OB KOLPI
1558,SODEVCI
1559,RADENCI
1560,SINJI VRH
1561,DAMELJ
1562,UČAKOVCI
1563,VINICA
1564,PRELOKA
1565,MARINDOL
1566,ŽUNIČI
1567,POTISKAVEC
1568,PODTABOR
1569,POLOM
1570,STARI LOG
1571,SMUKA
1572,ROG
1573,MALA GORA
1574,KOBLARJI
1575,STARA CERKEV
1576,MAHOVNIK
1577,KOČEVJE
1578,ŽELJNE
1579,RAJHENAV
1580,ONEK
1581,LIVOLD
1582,KOČE
1583,GOTENICA
1624,GORENJA VAS
1625,RIBNICA
1626,GORIČA VAS
1627,PRIGORICA
1628,DANE
1629,DOLENJA VAS
1630,RAKITNICA
1631,GRČARICE
1632,OTOK I
1633,GORENJE JEZERO
1634,DANE
1635,PODCERKEV
1636,LOŽ
1637,STARI TRG PRI LOŽU
1638,KNEŽJA NJIVA
1639,VRHNIKA
1640,RETJE
1641,HRIB
1642,TRAVNIK
1548,GOLEK
1549,TANČA GORA
1550,DRAGATUŠ
192,PLITVIČKI VRH
193,SPODNJA ŠČAVNICA
194,LASTOMERCI
195,ZBIGOVCI
196,OREHOVSKI VRH
197,OREHOVCI
198,BORAČEVA
199,ŠRATOVCI
200,RADENCI
201,RIHTAROVCI
202,KAPELSKI VRH
203,OČESLAVCI
204,JANŽEV VRH
205,STAVEŠINCI
206,IVANJŠEVCI
207,RADVENCI
208,NEGOVA
209,KUNOVA
1643,POLJANE
1644,IGA VAS
1645,VIŠEVEK
1646,PUDOB
1647,NADLESK
1648,KOZARIŠČE
1649,VRH
1650,BABNA POLICA
1651,BABNO POLJE
1652,RAKITNA
1653,OSREDEK
1654,ŽILCE
1655,KRANJČE
1656,OTAVE
1657,KOŽLJEK
1658,BEZULJAK
1659,RAKEK
1660,UNEC
1661,BEGUNJE PRI CERKNICI
1662,SELŠČEK
1663,CAJNARJE
1664,ŠTRUKLJEVA VAS
1665,JERŠIČE
1666,RAVNE PRI ŽILCAH
1667,HITENO
1668,ZALES
1669,KREMENCA
1670,ULAKA
1671,GRADIŠKO
1672,RAVNIK
1673,VELIKE BLOKE
1674,RADLEK
1675,GRAHOVO
1676,CERKNICA
1677,DOLENJA VAS
1678,OTOK II
1679,LIPSENJ
1680,ŽEROVNICA
1681,BLOČICE
1682,STUDENO
1683,NOVA VAS
1684,VOLČJE
1685,KRAJIČ
1686,STRMCA
1687,VELIKI VRH
1688,RUNARSKO
1689,BENETE
1690,STUDENEC
1691,HUDI VRH
258,CEZANJEVCI
259,LJUTOMER
260,KAMENŠČAK
261,STARA CESTA
262,DESNJAK
263,MEKOTNJAK
264,RADOMERJE
265,GRESOVŠČAK
266,PLEŠIVICA
267,ILOVCI
268,SLAMNJAK
269,RINČETOVA GRABA
270,NUNSKA GRABA
271,PRESIKA
272,STROČJA VAS
273,PRISTAVA
274,GLOBOKA
275,VEŠČICA
276,RAZKRIŽJE
277,ŠAFARSKO
278,GIBINA
280,RUCMANCI
281,RAKOVCI
282,SAVCI
283,TOMAŽ
284,MALA VAS
285,BRATONEČICE
286,SENIK PRI TOMAŽU
287,KLJUČAROVCI PRI ORMOŽU
288,KORAČICE
289,PRŠETINCI
290,LAHONCI
291,ŽVAB
292,RUNEČ
293,STANOVNO
294,IVANJKOVCI
295,ŽEROVINCI
296,CEROVEC STANKA VRAZA
297,VELIČANE
298,MIHALOVCI
299,MALI BREBROVNIK
300,VELIKI BREBROVNIK
301,VINSKI VRH
302,MIKLAVŽ
303,HERMANCI
304,GOMILA
305,KOG
306,VUZMETINCI
307,KAJŽAR
308,ZASAVCI
309,LAČAVES
310,JASTREBCI
1239,VRENSKA GORCA
1240,SEDLARJEVO
1241,LASTNIČ
1242,KOZJE
1243,VETRNIK
1244,GORJANE
1245,PODSREDA
1246,DEKMANCA
1247,TREBČE
1248,HRASTJE
1249,PLES
1250,KUNŠPERK
1251,ZAGAJ
1252,KRIŽE
1253,OREŠJE
1254,BUKOVJE
1255,DRENOVEC
1256,BREZOVICA
1257,BIZELJSKO
1258,PODGORJE
1259,PAVLOVA VAS
1260,SILOVEC
1261,SROMLJE
1262,ZGORNJA POHANCA
1263,OKLUKOVA GORA
1264,ARNOVO SELO
1265,VOLČJE
1266,CURNOVEC
1267,BLATNO
1268,DEDNJA VAS
1269,PIŠECE
1270,BREZJE
1271,VITNA VAS
1272,STARA VAS
1273,ŽUPELEVEC
1274,BOJSNO
1275,PIRŠENBREG
1276,GLOBOKO
1277,MALI VRH
311,VODRANCI
312,VITAN
313,ŠALOVCI PRI SREDIŠČU
314,HUM
315,PAVLOVSKI VRH
1224,BABNA REKA
1225,GROBELCE
1226,BABNA GORA
1227,TINSKO
1228,SOPOTE
1229,PODČETRTEK
1230,IMENO
1231,VIRŠTANJ
1232,DOBLEŽIČE
1233,VERAČE
1234,BUČE
1235,DRENSKO REBRO
1236,ZAGORJE
1237,PILŠTANJ
1238,ZDOLE
1014,LOČICA
1015,ZAPLANINA
1016,ČRNI VRH
1017,MIKLAVŽ
1018,MARIJA REKA
1019,MATKE
1020,PONGRAC
1021,LIBOJE
1022,REČICA
1023,SLIVNO
1024,RIFENGOZD
1025,REKA
1026,LAŠKO
1027,ŠMIHEL
1074,SPODNJA HUDINJA
1075,OSTROŽNO
1076,MEDLOG
1077,CELJE
1078,LISCE
1079,KOŠNICA
1080,TREMERJE
934,ZGORNJE POBREŽJE
935,SPODNJA REČICA
936,PRIHOVA
937,LOKE
938,KOKARJE
939,PUSTO POLJE
940,ŠMARTNO OB DRETI
941,BOČNA
942,GORNJI GRAD
943,ŠMIKLAVŽ
944,TIROSEK
945,BELE VODE
946,ŠENTVID PRI ZAVODNJU
947,ZAVODNJE
948,TOPOLŠICA
949,RAVNE
950,PLEŠIVEC
951,HRASTOVEC
952,CIRKOVCE
953,PAKA
995,ŠEMPETER V SAVINJSKI DOLINI
996,ŽALEC
997,GOTOVLJE
998,VELIKA PIREŠICA
999,GORICA
1000,LEVEC
1001,PETROVČE
1002,KASAZE
1003,ZABUKOVICA
1004,GORNJA VAS
1005,PREBOLD
1006,LATKOVA VAS
1007,GRAJSKA VAS
1008,GOMILSKO
1009,OJSTRIŠKA VAS
1010,PREKOPA
1011,TEŠOVA
1012,VRANSKO
1013,JERONIM
954,LIPJE
955,BEVČE
957,ŠKALE
958,GABERKE
959,ŠOŠTANJ
960,FLORJAN PRI ŠOŠTANJU
961,SKORNO PRI ŠOŠTANJU
962,GORENJE
963,LOKOVICA
964,VELENJE
965,LAZE
966,LOŽNICA
967,KAVČE
968,PODKRAJ
969,VELIKI VRH
970,GAVCE
971,PAŠKA VAS
972,ŠMARTNO OB PAKI
973,REČICA OB PAKI
974,PRELSKA
975,VINSKA GORA
